concepto,descripcion
chip de acelerador,"Un acelerador de IA es una clase de acelerador por hardware​ o sistema informático​ diseñado para acelerar aplicaciones de inteligencia artificial, especialmente redes neuronales artificiales, visión artificial y aprendizaje automático. Las aplicaciones típicas incluyen algoritmos para robótica, internet de las cosas y otras tareas con gran uso de datos o conducidas por sensores.​ Son a menudo diseños de múltiples núcleos y generalmente enfocados en aritmética de baja precisión, nuevas arquitecturas de flujo de datos o capacidad de computación en memoria.​ A fecha de 2018, un típico chip de circuito integrado de IA contiene miles de millones de transistores MOSFET.​"
acción,"El aprendizaje por refuerzo o aprendizaje reforzado (en inglés: reinforcement learning) es un área del aprendizaje automático (AA) inspirada en la psicología conductista, cuya ocupación es determinar qué acciones debe escoger un agente de software en un entorno dado con el fin de maximizar alguna noción de ""recompensa"" o premio acumulado. El problema, por su generalidad, se estudia en muchas otras disciplinas, como la teoría de juegos, teoría de control, investigación de operaciones, teoría de la información, la optimización basada en la simulación, estadística y algoritmos genéticos. En otros campos de investigación, donde se estudian los métodos de aprendizaje de refuerzo, se lo conoce como programación dinámica aproximada. El problema se ha estudiado en la teoría de control óptimo, aunque la mayoría de los estudios se centran en la existencia de soluciones óptimas y su caracterización, no en los aspectos de aprendizaje o de aproximación. En la economía y en teoría de juegos, el aprendizaje por refuerzo se puede utilizar para explicar cómo puede surgir equilibrio en condiciones de racionalidad limitada. En aprendizaje de máquina, el medio ambiente es formulado generalmente como un proceso de decisión de Markov (MDP) y muchos algoritmos de aprendizaje por refuerzo están estrechamente relacionados con técnicas de la programación dinámica. La principal diferencia entre las técnicas clásicas y los algoritmos de aprendizaje por refuerzo es que para estos últimos no es necesario el conocimiento de los MDP y se dirigen a grandes MDP donde los métodos exactos se convierten en no viables. El aprendizaje por refuerzo difiere del estándar de aprendizaje supervisado en el que los pares de entradas / salidas correctas nunca se presentan, ni acciones subóptimas corregidas explícitamente. Además, hay un enfoque en el rendimiento en línea, que consiste en encontrar un equilibrio entre la exploración (de un territorio desconocido) y explotación (de los conocimientos actuales)."
adagrad,"El descenso de gradiente estocástico (a menudo abreviado SGD) es un método iterativo para optimizar una función objetivo con propiedades de suavidad adecuadas (por ejemplo, diferenciable o subdiferenciable). Se puede considerar como una aproximación estocástica de la optimización de descenso de gradiente, ya que reemplaza el gradiente real (calculado a partir de todo el conjunto de datos) mediante una estimación de la misma (calculada a partir de un subconjunto de datos seleccionado aleatoriamente). Especialmente en problemas de optimización de alta dimensión, esto reduce la carga computacional muy alta, logrando iteraciones más rápidas a cambio de una tasa de convergencia más baja."
agente,"Un agente inteligente es una entidad capaz de percibir su entorno, procesar tales percepciones y responder o actuar en dicho entorno de manera racional, es decir, logrando objetivos, tendiendo a maximizar un resultado esperado y adquiriendo conocimiento con su desempeño. Es capaz de percibir su medio ambiente con la ayuda de sensores y actuar en ese medio utilizando actuadores (elementos que reaccionan a un estímulo realizando una acción)."
ar,"En estadísticas, econometría y procesamiento de señales, un modelo autorregresivo (AR) es una representación de un tipo de proceso aleatorio; Como tal, se puede utilizar para describir ciertos procesos que varían en el tiempo en la naturaleza, la economía, el comportamiento, etc. El modelo autorregresivo especifica que la variable de salida depende linealmente de sus propios valores anteriores y de un término estocástico (un término imperfectamente predecible); Por lo tanto, el modelo está en forma de una ecuación de diferencia estocástica (o relación de recurrencia) que no debe confundirse con una ecuación diferencial. Junto con el modelo de promedio de mudanzas (MA), es un caso especial y un componente clave de los modelos de series de tiempo de tiempo más generales autorregresivas-promedio (ARMA) y del promedio móvil integrado autorregresivo (ARIMA), que tienen una estructura estocástica más complicada; También es un caso especial del modelo Autorregresivo Vector (VAR), que consiste en un sistema de más de una ecuación de diferencia estocástica entrelazada en más de una variable aleatoria en evolución."
"attention,","La atención es un método de aprendizaje automático que determina la importancia relativa de cada componente en una secuencia en relación con los otros componentes en esa secuencia. En el procesamiento del lenguaje natural, la importancia está representada por pesos ""suaves"" asignados a cada palabra en una oración. En términos más generales, la atención codifica vectores llamados incrustaciones de tokens en una secuencia de ancho fijo que puede variar de decenas a millones de tokens de tamaño."
atributo,"En el aprendizaje automático y el reconocimiento de patrones, una característica es una propiedad individual medible o característica de un conjunto de datos. Elegir características informativas, discriminatorias e independientes es crucial para producir algoritmos efectivos para las tareas de reconocimiento, clasificación y regresión de patrones. Las características suelen ser numéricas, pero otros tipos, como cadenas y gráficos, se usan en el reconocimiento de patrones sintácticos, después de algún paso de preprocesamiento, como la codificación única. El concepto de ""características"" está relacionado con el de las variables explicativas utilizadas en técnicas estadísticas como la regresión lineal."
muestreo de atributos,"En aprendizaje de máquina y estadística, selección de característica, también conocida como selección de variable, selección de atributo o selección de subconjunto variable, es el proceso de seleccionar un subconjunto de características pertinentes (variables, predictores) para su uso en construcción de modelos. Las técnicas de selección de la característica son utilizadas por cuatro razones:"
auc,"Una curva característica de operación del receptor, o curva ROC, es una gráfica gráfica que ilustra el rendimiento de un modelo de clasificador binario (también se puede usar para la clasificación de clase múltiple) con valores de umbral variables."
codificador automático,"Un autoencoder es un tipo de red neuronal artificial utilizada para aprender codificaciones eficientes de datos no etiquetados (aprendizaje no supervisado). Un autoencoder aprende dos funciones: una función de codificación que transforma los datos de entrada y una función de decodificación que recrea los datos de entrada de la representación codificada. El autoencoder aprende una representación eficiente (codificación) para un conjunto de datos, típicamente para la reducción de dimensionalidad, para generar integridades de dimensiones más bajas para el uso posterior por otros algoritmos de aprendizaje automático."
